bigram	score
customer service	138.63
last night	105.66
good place	99.97
few day	95.17
conference call	88.37
militant islamist	77.43
suicide murder	76.47
natural gas	76.47
price cap	76.47
oil change	70.39
death metal	65.16
last week	64.21
great job	64.21
per cent	64.21
outer circle	58.86
biological weapon	57.92
human right	57.92
national security	57.92
web site	57.92
audit right	57.92
polar bear	57.92
global warming	57.92
guinea pig	57.92
great service	57.92
currency amount	56.35
laser sight	52.44
good time	51.50
more info	51.50
inner circle	51.50
international law	51.50
development agreement	51.50
master agreement	51.50
phone call	51.50
service date	51.50
bad faith	51.50
civet cat	51.50
good bet	51.50
dwarf hamster	51.50
good service	51.50
good price	51.50
cruise line	51.50
birth certificate	51.50
bad experience	51.50
deal number	46.97
religious leader	45.87
operating standard	45.87
little one	44.95
good news	44.95
indian army	44.95
good option	44.95
top notch	44.95
heavy metal	44.95
suicide murderer	44.95
second wave	44.95
epc contract	44.95
new one	44.95
month end	44.95
balance sheet	44.95
next time	44.95
global counterparty	44.95
good food	44.95
king snake	44.95
excellent service	44.95
front desk	44.95
executive order	40.25
payment date	40.25
full name	39.14
base currency	39.14
long form	39.14
space program	39.14
dining room	39.14
american force	38.23
few week	38.23
arab world	38.23
nuclear weapon	38.23
peace process	38.23
weapon program	38.23
first year	38.23
press conference	38.23
few year	38.23
pakistani official	38.23
last month	38.23
young man	38.23
train station	38.23
civilized world	38.23
western media	38.23
homeland security	38.23
anthrax mailing	38.23
letter bomb	38.23
voice mail	38.23
great time	38.23
confidentiality agreement	38.23
additional language	38.23
risk policy	38.23
password application	38.23
executive director	38.23
human being	38.23
much money	38.23
climate change	38.23
union address	38.23
young adult	38.23
pet store	38.23
bearded dragon	38.23
favorite place	38.23
good experience	38.23
year old	38.23
good job	38.23
credit card	38.23
good deal	38.23
other place	38.23
chinese restaurant	38.23
horrible service	38.23
last minute	38.23
mezza luna	38.23
comprehensive settlement	33.35
ciac tax	33.35
foreign currency	32.20
settlement document	32.20
graduate level	32.20
legal name	32.20
executive branch	32.20
game piece	32.20
tv screen	32.20
prime minister	31.31
chemical weapon	31.31
only one	31.31
much time	31.31
taxi driver	31.31
security force	31.31
online dating	31.31
political leader	31.31
east coast	31.31
military presence	31.31
law enforcement	31.31
main show	31.31
organized crime	31.31
mass destruction	31.31
anthrax production	31.31
green bird	31.31
board meeting	31.31
job group	31.31
vice president	31.31
email address	31.31
vacation day	31.31
more money	31.31
couple day	31.31
fundamental operating	31.31
client service	31.31
service phone	31.31
several year	31.31
bad day	31.31
health insurance	31.31
many thanks	31.31
risk management	31.31
fax machine	31.31
signature page	31.31
much fun	31.31
liq value	31.31
option liquidation	31.31
talking point	31.31
credit derivative	31.31
eol response	31.31
full reconciliation	31.31
work experience	31.31
application file	31.31
good rgd	31.31
product type	31.31
gcp procedure	31.31
few month	31.31
palace coup	31.31
power generator	31.31
american family	31.31
moon landing	31.31
landing hoax	31.31
fiscal year	31.31
first place	31.31
civil marriage	31.31
gender couple	31.31
space station	31.31
other country	31.31
carbon dioxide	31.31
love life	31.31
hard time	31.31
urban area	31.31
skilled migrant	31.31
litter box	31.31
changing bag	31.31
new home	31.31
reasonable price	31.31
price range	31.31
ball python	31.31
new kitten	31.31
young one	31.31
water change	31.31
cheek muscle	31.31
epm test	31.31
epm horse	31.31
great price	31.31
star review	31.31
great food	31.31
great place	31.31
other reviewer	31.31
wait staff	31.31
poor service	31.31
food craving	31.31
health effect	25.02
road test	25.02
position report	25.02
working capital	25.02
call option	25.02
dispatch period	25.02
rate increase	25.02
other animal	25.02
black magic	25.02
set plaster	25.02
overflow box	25.02
second hand	25.02
uvb bulb	25.02
off season	25.02
mental health	25.02
pho place	25.02
