bigram	score	is-math-concept
customer service	138.63	0
last night	105.66	0
good place	99.97	0
few day	95.17	0
conference call	88.37	0
militant islamist	77.43	0
suicide murder	76.47	0
natural gas	76.47	0
price cap	76.47	0
oil change	70.39	0
death metal	65.16	0
last week	64.21	0
great job	64.21	0
per cent	64.21	0
outer circle	58.86	0
biological weapon	57.92	0
human right	57.92	0
national security	57.92	0
web site	57.92	0
audit right	57.92	0
polar bear	57.92	0
global warming	57.92	0
guinea pig	57.92	0
great service	57.92	0
currency amount	56.35	0
laser sight	52.44	0
good time	51.5	0
more info	51.5	0
inner circle	51.5	0
international law	51.5	0
development agreement	51.5	0
master agreement	51.5	0
phone call	51.5	0
service date	51.5	0
bad faith	51.5	0
civet cat	51.5	0
good bet	51.5	0
dwarf hamster	51.5	0
good service	51.5	0
good price	51.5	0
cruise line	51.5	0
birth certificate	51.5	0
bad experience	51.5	0
deal number	46.97	0
religious leader	45.87	0
operating standard	45.87	0
little one	44.95	0
good news	44.95	0
indian army	44.95	0
good option	44.95	0
top notch	44.95	0
heavy metal	44.95	0
suicide murderer	44.95	0
second wave	44.95	0
epc contract	44.95	0
new one	44.95	0
month end	44.95	0
balance sheet	44.95	0
next time	44.95	0
global counterparty	44.95	0
good food	44.95	0
king snake	44.95	0
excellent service	44.95	0
front desk	44.95	0
executive order	40.25	0
payment date	40.25	0
full name	39.14	0
base currency	39.14	0
long form	39.14	0
space program	39.14	0
dining room	39.14	0
american force	38.23	0
few week	38.23	0
arab world	38.23	0
nuclear weapon	38.23	0
peace process	38.23	0
weapon program	38.23	0
first year	38.23	0
press conference	38.23	0
few year	38.23	0
pakistani official	38.23	0
last month	38.23	0
young man	38.23	0
train station	38.23	0
civilized world	38.23	0
western media	38.23	0
homeland security	38.23	0
anthrax mailing	38.23	0
letter bomb	38.23	0
voice mail	38.23	0
great time	38.23	0
confidentiality agreement	38.23	0
additional language	38.23	0
risk policy	38.23	0
password application	38.23	0
executive director	38.23	0
human being	38.23	0
much money	38.23	0
climate change	38.23	0
union address	38.23	0
young adult	38.23	0
pet store	38.23	0
bearded dragon	38.23	0
favorite place	38.23	0
good experience	38.23	0
year old	38.23	0
good job	38.23	0
credit card	38.23	0
good deal	38.23	0
other place	38.23	0
chinese restaurant	38.23	0
horrible service	38.23	0
last minute	38.23	0
mezza luna	38.23	0
comprehensive settlement	33.35	0
ciac tax	33.35	0
foreign currency	32.2	0
settlement document	32.2	0
graduate level	32.2	0
legal name	32.2	0
executive branch	32.2	0
game piece	32.2	0
tv screen	32.2	0
prime minister	31.31	0
chemical weapon	31.31	0
only one	31.31	0
much time	31.31	0
taxi driver	31.31	0
security force	31.31	0
online dating	31.31	0
political leader	31.31	0
east coast	31.31	0
military presence	31.31	0
law enforcement	31.31	0
main show	31.31	0
organized crime	31.31	0
mass destruction	31.31	0
anthrax production	31.31	0
green bird	31.31	0
board meeting	31.31	0
job group	31.31	0
vice president	31.31	0
email address	31.31	0
vacation day	31.31	0
more money	31.31	0
couple day	31.31	0
fundamental operating	31.31	0
client service	31.31	0
service phone	31.31	0
several year	31.31	0
bad day	31.31	0
health insurance	31.31	0
many thanks	31.31	0
risk management	31.31	0
fax machine	31.31	0
signature page	31.31	0
much fun	31.31	0
liq value	31.31	0
option liquidation	31.31	0
talking point	31.31	0
credit derivative	31.31	0
eol response	31.31	0
full reconciliation	31.31	0
work experience	31.31	0
application file	31.31	0
good rgd	31.31	0
product type	31.31	0
gcp procedure	31.31	0
few month	31.31	0
palace coup	31.31	0
power generator	31.31	0
american family	31.31	0
moon landing	31.31	0
landing hoax	31.31	0
fiscal year	31.31	0
first place	31.31	0
civil marriage	31.31	0
gender couple	31.31	0
space station	31.31	0
other country	31.31	0
carbon dioxide	31.31	0
love life	31.31	0
hard time	31.31	0
urban area	31.31	0
skilled migrant	31.31	0
litter box	31.31	0
changing bag	31.31	0
new home	31.31	0
reasonable price	31.31	0
price range	31.31	0
ball python	31.31	0
new kitten	31.31	0
young one	31.31	0
water change	31.31	0
cheek muscle	31.31	0
epm test	31.31	0
epm horse	31.31	0
great price	31.31	0
star review	31.31	0
great food	31.31	0
great place	31.31	0
other reviewer	31.31	0
wait staff	31.31	0
poor service	31.31	0
food craving	31.31	0
health effect	25.02	0
road test	25.02	0
position report	25.02	0
working capital	25.02	0
call option	25.02	0
dispatch period	25.02	0
rate increase	25.02	0
other animal	25.02	0
black magic	25.02	0
set plaster	25.02	0
overflow box	25.02	0
second hand	25.02	0
uvb bulb	25.02	0
off season	25.02	0
mental health	25.02	0
pho place	25.02	0
initial lesson	25.02	0
high level	24.15	0
recent month	24.15	0
same people	24.15	0
dead body	24.15	0
press release	24.15	0
birth rate	24.15	0
indian state	24.15	0
current world	24.15	0
hot spot	24.15	0
assassination attempt	24.15	0
asymmetrical warfare	24.15	0
petroleum reserve	24.15	0
defense agreement	24.15	0
current peace	24.15	0
defense deal	24.15	0
sinhalese majority	24.15	0
civil war	24.15	0
peace talk	24.15	0
old one	24.15	0
international media	24.15	0
minimum requirement	24.15	0
afghan official	24.15	0
moldovan airline	24.15	0
old man	24.15	0
real morality	24.15	0
long way	24.15	0
metal music	24.15	0
real problem	24.15	0
more year	24.15	0
car accident	24.15	0
more people	24.15	0
human life	24.15	0
professional life	24.15	0
old baby	24.15	0
new generation	24.15	0
free speech	24.15	0
more power	24.15	0
real thing	24.15	0
further attack	24.15	0
biological agent	24.15	0
