bigram	score	is-math-concept
vector space	1957.41	1
closed formula	1105.03	1
linear combination	1008.42	1
recurrence relation	831.47	0
bit string	804.58	1
null space	756.17	0
real number	709.61	1
natural number	691.72	1
many way	689.72	0
linear map	683.74	1
equivalence relation	683.74	0
echelon form	672.74	0
linear system	642.57	1
normal subgroup	637.51	0
equivalence class	593.72	0
b =	572.07	0
generating function	569.01	1
truth table	568.01	0
range space	551.35	0
scalar multiplication	544.09	0
chromatic number	536.84	1
integral domain	527.3	1
odd number	517.84	1
complex number	512.65	1
v =	499.97	0
mathematical induction	486.25	0
splitting field	482.88	0
positive integer	480.85	1
group g	473.45	0
|| =	461.45	0
square matrix	454.14	1
hand side	451.74	0
recursive definition	434.68	0
standard basis	434.68	0
even number	429.15	1
planar graph	409.49	1
initial condition	408.5	0
cyclic group	382.01	0
p =	378.37	0
identity matrix	375.34	1
base case	375.34	0
minimal polynomial	368.65	0
linear transformation	361.94	1
column vector	355.21	1
free variable	355.21	0
abelian group	348.45	0
w =	348.45	0
v v	348.45	0
independent set	348.45	0
r r	343.68	0
finite group	335.87	0
row operation	335.87	1
field extension	334.88	0
characteristic polynomial	334.88	0
commutative ring	323.21	1
homogeneous system	322.2	0
common divisor	321.21	0
boolean algebra	316.34	0
counting problem	315.33	0
lattice path	315.33	0
basis b	314.34	0
direct sum	309.45	1
empty set	307.44	0
finite field	307.44	0
product principle	307.44	0
bipartite graph	300.52	1
direct product	294.56	0
direct proof	293.58	1
z =	293.58	0
unique solution	293.58	0
sample space	293.58	0
canonical form	293.58	0
diagonal matrix	287.59	1
digit number	272.57	1
bow tie	268.56	0
prime number	265.51	1
inverse image	265.51	0
polynomial p(x	265.51	0
transformation t	265.51	0
inductive hypothesis	265.51	0
truth value	261.47	1
face card	261.47	0
number theory	259.4	1
rational number	258.42	1
matrix h	258.42	1
inductive case	258.42	0
partial sum	251.3	1
strong induction	251.3	0
rst row	251.3	1
counting question	245.13	0
deduction rule	244.14	0
degree sequence	244.14	1
basis vector	244.14	1
orthogonal projection	244.14	0
characteristic root	237.94	0
matrix multiplication	236.96	1
identity map	236.96	1
r =	236.96	0
th term	236.96	1
x -	236.96	0
many solution	236.96	0
dimensional space	236.96	0
form matrix	236.96	1
e =	229.73	0
binary operation	229.73	0
nonzero element	229.73	1
factor group	229.73	1
space v	229.73	0
sudoku puzzle	229.73	0
geometric sequence	229.73	0
column space	229.73	1
matrix equivalence	229.73	1
projective plane	229.73	0
special case	222.48	0
map h	222.48	1
extension field	222.48	0
sum principle	222.48	1
inductive step	222.48	0
determinant function	222.48	1
a =	218.24	0
second row	216.16	1
left coset	215.18	0
check matrix	215.18	1
ring r	215.18	1
graph theory	215.18	1
many choice	215.18	0
letter word	215.18	0
prior example	215.18	0
linear relationship	215.18	1
string basis	215.18	1
single error	209.85	0
+ bi	208.83	0
nth root	208.83	0
cent stamp	208.36	0
particular solution	207.85	0
combinatorial proof	207.85	1
row vector	207.85	1
external demand	207.85	0
c =	201.46	0
composition series	200.48	1
arbitrary integer	200.48	1
initial term	200.48	1
arithmetic sequence	200.48	0
homogeneous coordinate	200.48	0
group theory	193.06	0
h =	193.06	0
first term	193.06	1
many edge	193.06	0
characteristic equation	193.06	1
row space	193.06	1
basis matrix	193.06	1
similarity class	193.06	0
finite extension	186.58	0
matrix a	185.6	1
rigid motion	185.6	0
solution set	185.6	0
permutation matrix	185.6	1
permutation expansion	185.6	0
projective point	185.6	0
linear code	179.08	1
euler formula	178.1	1
dimensional formula	178.1	1
d =	171.53	0
row equivalence	171.53	1
power set	170.55	0
permutation group	170.55	0
dot product	170.55	0
different color	170.55	0
switching function	170.55	1
element subset	170.55	0
many subset	170.55	0
nonzero vector	170.55	1
magic square	164.95	0
third row	163.93	1
chocolate bar	163.93	0
nilpotent matrix	163.93	1
linear algebra	162.95	1
t =	162.95	0
n matrix	162.95	1
multiplicative group	162.95	0
symmetry group	162.95	0
group homomorphism	162.95	0
ring homomorphism	162.95	1
maximal ideal	162.95	0
linear factor	162.95	1
field e	162.95	0
discrete structure	162.95	0
different number	162.95	1
many function	162.95	1
few term	162.95	1
+ w	162.95	0
vector v	162.95	1
|| ||	160.79	0
- axis	156.27	0
row rank	156.27	1
invertible matrix	155.3	1
minimum distance	155.3	0
irreducible polynomial	155.3	0
odd degree	155.3	1
same set	155.3	0
triangular number	155.3	1
original statement	155.3	0
chromatic index	155.3	1
red card	155.3	0
injective function	155.3	1
binomial identity	155.3	1
prior item	155.3	0
matrix t	155.3	1
coordinate vector	155.3	1
second component	148.56	1
|u |	148.56	0
b c	147.59	0
group operation	147.59	0
subgroup h	147.59	0
order p	147.59	0
right coset	147.59	0
simple group	147.59	0
spanning set	147.59	0
linear equation	147.59	1
= ||	147.59	0
root technique	147.59	0
dimensionless product	147.59	0
abstract algebra	139.82	0
induction hypothesis	139.82	0
equilateral triangle	139.82	1
inner product	139.82	0
nonsingular matrix	139.82	1
constant term	139.82	1
normal extension	139.82	0
true statement	139.82	0
complete graph	139.82	1
row swap	139.82	1
nn matrix	139.82	1
transition matrix	134.0	1
additive inverse	132.96	0
algebraic extension	132.96	1
x =	132.96	0
check bit	132.96	0
linear surface	132.96	1
g g	131.99	0
canonical parity	131.99	0
generator matrix	131.99	1
vector addition	131.99	1
possible value	131.99	1
partial order	131.99	0
cyclic code	131.99	0
empty square	131.99	0
formula =	131.99	1
general solution	131.99	0
remainder class	131.99	0
diophantine equation	131.99	1
base step	131.99	0
elementary matrix	131.99	1
upper triangular	127.22	0
same degree	125.06	1
left inverse	125.06	0
discrete mathematic	124.1	0
b2 4ac	124.1	0
cartesian product	124.1	0
algebraic structure	124.1	1
order p.	124.1	0
map t	124.1	1
conjugacy class	124.1	0
class equation	124.1	1
linear independence	124.1	1
dimensional vector	124.1	1
line segment	124.1	0
discrete math	124.1	0
additional topic	124.1	0
mathematical statement	124.1	0
ice cream	124.1	0
line notation	124.1	0
many vertex	124.1	0
spanning tree	124.1	0
surjective function	124.1	1
next term	124.1	1
second difference	124.1	0
arrow diagram	124.1	1
power series	124.1	1
row combination	124.1	1
rst component	124.1	1
no .	124.1	0
prior subsection	124.1	0
prior section	124.1	0
next result	124.1	0
trivial subspace	124.1	0
independent subset	124.1	0
second letter	118.13	0
previous term	117.09	1
error detection	116.13	0
cyclic subgroup	116.13	0
binary n	116.13	0
solvable group	116.13	0
group action	116.13	0
right inverse	116.13	0
principal ideal	116.13	0
+ v	116.13	0
nonzero entry	116.13	1
degree polynomial	116.13	1
practice problem	116.13	0
valid deduction	116.13	0
binomial coefficient	116.13	0
first letter	116.13	0
linear function	116.13	1
matrix equation	116.13	1
gaussian reduction	116.13	0
column rank	116.13	1
j entry	116.13	0
